exchange_name	campaign_id	viewers	buyers
Improve Digital	185069	3	0
Improve Digital	185147	33	0
Improve Digital	189132	19	0
Improve Digital	189291	421	0
Improve Digital	190007	103	0
Improve Digital	190890	208	6
Improve Digital	190894	50	0
Improve Digital	191197	77	0
Improve Digital	191212	15	0
Improve Digital	191453	11	0
Improve Digital	193505	9	0
Improve Digital	193797	29	0
Improve Digital	193918	391	1
Improve Digital	194409	23	1
Improve Digital	195337	6	0
Improve Digital	196537	3	0
Improve Digital	197308	1	0
Kauli	182635	21	0
Kauli	182658	18	0
Kauli	185147	5	0
Kauli	189132	12	0
Kauli	189291	12	0
Kauli	190007	21	0
Kauli	190890	10	1
Kauli	190894	24	0
Kauli	191197	16	0
Kauli	191212	25	0
Kauli	191453	18	0
Kauli	193505	7	0
Kauli	193797	15	0
Kauli	193918	28	0
Kauli	194409	9	1
Kauli	195162	4	0
Kauli	195337	4	0
Kauli	196537	8	0
LiveIntent Exchange	180636	6	0
LiveIntent Exchange	182060	88	0
LiveIntent Exchange	182658	1516	0
LiveIntent Exchange	185069	68	0
LiveIntent Exchange	190894	315	0
LiveIntent Exchange	191197	240	0
LiveIntent Exchange	191212	201	2
LiveIntent Exchange	193918	785	8
LiveIntent Exchange	194409	30	0
LiveRail	182249	57	0
MARKETPLACE by ADTECH	178718	214	0
MARKETPLACE by ADTECH	180636	114	0
MARKETPLACE by ADTECH	182060	166	0
MARKETPLACE by ADTECH	182635	19433	12
MARKETPLACE by ADTECH	182658	6248	5
MARKETPLACE by ADTECH	185069	150	0
MARKETPLACE by ADTECH	185147	6893	17
MARKETPLACE by ADTECH	187433	22482	178
MARKETPLACE by ADTECH	187879	13690	35
MARKETPLACE by ADTECH	187977	16299	78
MARKETPLACE by ADTECH	189132	15750	79
MARKETPLACE by ADTECH	189291	29274	12
MARKETPLACE by ADTECH	190007	17986	47
MARKETPLACE by ADTECH	190890	13042	271
MARKETPLACE by ADTECH	190894	5156	0
MARKETPLACE by ADTECH	191197	5477	1
MARKETPLACE by ADTECH	191212	14184	90
MARKETPLACE by ADTECH	191453	13083	101
MARKETPLACE by ADTECH	191485	20781	11
MARKETPLACE by ADTECH	193505	7185	15
MARKETPLACE by ADTECH	193797	16145	112
MARKETPLACE by ADTECH	193918	27920	229
MARKETPLACE by ADTECH	194409	18929	950
MARKETPLACE by ADTECH	195162	2910	3
MARKETPLACE by ADTECH	195337	8246	12
MARKETPLACE by ADTECH	196537	10553	13
MARKETPLACE by ADTECH	197308	1824	5
Microsoft Advertising Exchange	182635	67	0
Microsoft Advertising Exchange	182658	45	0
Microsoft Advertising Exchange	185147	47	0
Microsoft Advertising Exchange	187433	471	3
Microsoft Advertising Exchange	187879	232	0
Microsoft Advertising Exchange	187977	180	0
Microsoft Advertising Exchange	189132	167	0
Microsoft Advertising Exchange	190890	300	6
Microsoft Advertising Exchange	190894	66	0
Microsoft Advertising Exchange	191197	160	0
Microsoft Advertising Exchange	191212	5	0
Microsoft Advertising Exchange	191453	9	0
Microsoft Advertising Exchange	191485	29	0
Microsoft Advertising Exchange	193505	75	0
Microsoft Advertising Exchange	193797	185	2
Microsoft Advertising Exchange	193918	403	2
Microsoft Advertising Exchange	194409	350	16
Microsoft Advertising Exchange	195162	37	0
Microsoft Advertising Exchange	195337	119	0
Microsoft Advertising Exchange	196537	166	0
Microsoft Advertising Exchange	197308	82	0
OpenX	178718	4064	6
OpenX	180636	2112	0
OpenX	182060	4013	0
OpenX	182635	54837	31
OpenX	182658	13716	4
OpenX	185069	4385	0
OpenX	185147	52036	94
OpenX	187433	159539	1124
OpenX	187879	75614	200
OpenX	187977	70104	140
OpenX	189132	42087	256
OpenX	189291	198162	124
OpenX	190007	108203	283
OpenX	190890	45042	1069
OpenX	190894	65179	0
OpenX	191197	64968	8
OpenX	191212	32882	250
OpenX	191453	31877	148
OpenX	191485	31226	16
OpenX	193505	3604	9
OpenX	193797	27268	142
OpenX	193918	99360	715
OpenX	194409	41334	2318
OpenX	195162	3984	3
OpenX	195337	26025	28
OpenX	196537	14050	23
OpenX	197308	4258	6
PubMatic	178718	712	1
PubMatic	180636	615	0
PubMatic	182060	584	0
PubMatic	182635	22202	11
PubMatic	182658	9344	4
PubMatic	185069	545	0
PubMatic	185147	7227	20
PubMatic	187433	45976	312
PubMatic	187879	16443	46
PubMatic	187977	26740	117
PubMatic	189132	12952	90
PubMatic	189291	48736	36
PubMatic	190007	22950	59
PubMatic	190890	12039	242
PubMatic	190894	9798	0
PubMatic	191197	17654	6
PubMatic	191212	11154	62
PubMatic	191453	7477	39
PubMatic	191485	15097	7
PubMatic	193505	8687	11
PubMatic	193797	9977	59
PubMatic	193918	32131	206
PubMatic	194409	20125	1059
PubMatic	195162	3032	1
PubMatic	195337	12998	16
PubMatic	196537	7382	10
PubMatic	197308	1198	0
PulsePoint	178718	5	0
PulsePoint	180636	2	0
PulsePoint	182060	1	0
PulsePoint	182635	2993	1
PulsePoint	182658	831	0
PulsePoint	185069	1	0
PulsePoint	185147	58	0
PulsePoint	187433	265	1
PulsePoint	187879	141	0
PulsePoint	187977	389	0
PulsePoint	189132	122	1
PulsePoint	189291	5401	4
PulsePoint	190007	2513	6
PulsePoint	190890	619	7
PulsePoint	190894	794	0
PulsePoint	191197	241	0
PulsePoint	191212	196	3
PulsePoint	191453	4298	20
PulsePoint	191485	1365	1
PulsePoint	193505	133	0
PulsePoint	193797	327	1
PulsePoint	193918	2839	19
PulsePoint	194409	5542	339
PulsePoint	195162	34	0
PulsePoint	195337	3216	2
PulsePoint	196537	359	1
PulsePoint	197308	75	0
Rubicon Project	178718	880	2
Rubicon Project	180636	827	0
Rubicon Project	182060	808	0
Rubicon Project	182635	18867	11
Rubicon Project	182658	16391	8
Rubicon Project	185069	710	0
Rubicon Project	185147	9256	26
Rubicon Project	187433	34227	223
Rubicon Project	187879	21793	69
Rubicon Project	187977	19696	62
Rubicon Project	189132	14741	90
Rubicon Project	189291	79414	47
Rubicon Project	190007	26644	57
Rubicon Project	190890	11552	256
Rubicon Project	190894	14837	0
Rubicon Project	191197	16586	7
Rubicon Project	191212	7455	47
Rubicon Project	191453	7586	39
Rubicon Project	191485	9745	3
